37,29,29,29,29,29,29,29,29,29,29,29,29,29,29,38,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,32,34,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,31,28,0,0,0,0,0,31,
28,0,0,0,32,33,33,33,36,35,34,0,0,0,0,31,
28,0,0,0,31,27,27,27,27,27,28,0,0,0,0,31,
28,0,0,0,31,27,27,27,27,27,35,33,34,0,0,31,
28,0,0,0,30,29,29,29,29,29,29,29,26,0,0,31,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
28,0,0,0,0,32,33,33,33,34,0,0,0,0,0,31,
28,0,0,0,0,30,29,29,29,26,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
35,33,33,33,33,33,33,33,33,33,33,33,33,33,33,36,
