37,29,29,29,29,29,29,29,29,29,29,38,27,27,27,27,27,37,29,29,29,29,29,29,29,29,29,29,29,29,38,27,37,29,38,
28,6,6,6,6,6,7,0,0,0,43,30,38,27,27,27,37,42,0,0,0,0,0,0,0,0,0,0,0,41,31,27,35,33,31,
28,6,6,6,6,6,7,0,0,0,0,0,30,38,27,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,38,27,31,
28,6,6,6,32,34,10,0,0,0,0,0,0,30,40,42,0,0,0,32,34,0,1,2,3,0,0,32,34,0,0,0,30,38,31,
28,6,6,6,30,42,0,0,0,0,0,0,0,11,39,0,0,0,0,31,28,43,5,6,7,0,11,31,28,0,0,0,0,30,31,
28,4,4,10,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,31,35,34,8,4,10,0,32,36,28,0,0,0,0,0,31,
35,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,35,34,0,41,32,36,37,42,0,0,0,0,0,31,
27,35,34,0,0,0,0,0,0,0,32,34,0,0,0,0,0,1,6,6,30,38,35,33,33,36,37,42,0,0,0,0,0,0,31,
37,29,42,0,0,0,0,0,0,32,36,35,34,0,0,0,1,6,6,6,6,30,29,29,29,29,42,0,0,0,0,0,0,0,31,
28,0,0,0,0,0,0,0,32,36,27,27,35,34,0,0,0,6,6,6,7,0,0,0,0,0,0,0,0,0,0,32,34,0,31,
28,0,0,0,1,3,0,32,36,27,27,27,27,35,34,0,0,8,4,4,10,0,41,0,0,0,0,0,0,0,32,36,28,0,31,
28,0,0,0,5,7,0,30,29,29,29,29,29,29,42,0,0,0,0,41,0,0,0,0,32,33,33,34,0,11,31,27,28,0,31,
28,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,33,33,36,27,27,35,33,33,36,37,42,1,31,
28,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,32,33,33,33,36,27,27,27,27,27,27,27,27,37,42,0,8,31,
28,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,32,36,27,27,27,27,27,27,27,27,27,27,37,29,42,0,0,0,31,
35,33,33,34,0,0,0,0,0,0,0,0,0,0,0,0,30,38,27,27,27,27,27,27,27,27,27,27,28,0,0,0,0,0,31,
27,27,27,35,33,33,34,0,0,0,0,0,43,0,0,0,0,30,29,38,27,27,27,27,27,27,37,29,42,0,0,0,0,0,31,
27,27,27,27,27,37,42,0,0,0,0,0,0,0,0,0,0,0,0,30,29,29,29,29,29,29,42,0,0,0,0,0,0,0,31,
27,27,37,29,29,42,0,0,0,0,11,32,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
37,29,42,0,0,0,0,0,0,0,32,36,27,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
28,0,0,0,0,1,6,6,32,33,36,27,27,27,35,34,0,0,0,0,0,11,0,0,0,0,0,6,6,6,0,0,0,11,31,
28,0,0,0,0,8,6,6,30,29,29,38,27,37,29,42,0,0,0,0,0,0,0,0,0,0,0,6,41,6,0,0,0,32,36,
28,43,0,0,0,0,0,0,0,0,11,30,29,42,0,0,0,0,0,0,0,0,32,33,33,33,0,6,6,6,0,0,32,36,27,
35,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,33,33,36,27,27,35,34,43,0,0,0,32,36,27,27,
27,35,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,36,27,27,27,27,27,27,27,35,33,33,33,33,36,27,27,27,
